cash_flow,supporting_type,fund_type,description,state,year,value,mode,deflator,chained,population,value_per_pop,chained_per_pop,value_crore,population_crore
Revenue,Supporting,Non-Trust Fund,Other state funds,Alaska,2020,682611861.8412056,Highways,106.515,235179482.22019693,733395,112.19132970310568,38.134588913698366,68.26,0.07334
Revenue,Supporting,Non-Trust Fund,Other state funds,Alaska,2021,682611861.8412056,Highways,116.734,235179482.22019693,734420,112.19132970310568,38.134588913698366,68.26,0.07344
Revenue,Supporting,Non-Trust Fund,Other state funds,Alaska,2022,682611861.8412056,Highways,128.921,235179482.22019693,734442,112.19132970310568,38.134588913698366,68.26,0.07344
Revenue,Supporting,Non-Trust Fund,Other state funds,Colorado,2020,184000.0,Highways,106.515,172745.6226822513,5775324,0.031859684409048,0.029910983813592,0.02,0.57753
Revenue,Supporting,Non-Trust Fund,Other state funds,Colorado,2021,42000000.0,Highways,116.734,35979234.8416057,5814036,7.223897478446986,6.188340567826842,4.2,0.5814
Revenue,Supporting,Non-Trust Fund,Other state funds,Colorado,2022,682611861.8412056,Highways,128.921,235179482.22019693,5850935,112.19132970310568,38.134588913698366,68.26,0.58509
Revenue,Supporting,Non-Trust Fund,Other state funds,Connecticut,2020,682611861.8412056,Highways,106.515,235179482.22019693,3607701,112.19132970310568,38.134588913698366,68.26,0.36077
Revenue,Supporting,Non-Trust Fund,Other state funds,Delaware,2020,682611861.8412056,Highways,106.515,235179482.22019693,989955,112.19132970310568,38.134588913698366,68.26,0.099
Revenue,Supporting,Non-Trust Fund,Other state funds,Delaware,2021,682611861.8412056,Highways,116.734,235179482.22019693,1005062,112.19132970310568,38.134588913698366,68.26,0.10051
Revenue,Supporting,Non-Trust Fund,Other state funds,Delaware,2022,682611861.8412056,Highways,128.921,235179482.22019693,1020625,112.19132970310568,38.134588913698366,68.26,0.10206
Revenue,Supporting,Non-Trust Fund,Other state funds,District of Columbia,2020,66000.0,Highways,106.515,61963.10378819884,689545,0.09571529051766,0.089860855764597,0.01,0.06895
Revenue,Supporting,Non-Trust Fund,Other state funds,District of Columbia,2021,5599000.0,Highways,116.734,4796374.663765484,669256,8.36600643102191,7.166726430193354,0.56,0.06693
Revenue,Supporting,Non-Trust Fund,Other state funds,District of Columbia,2022,682611861.8412056,Highways,128.921,235179482.22019693,676725,112.19132970310568,38.134588913698366,68.26,0.06767
Revenue,Supporting,Non-Trust Fund,Other state funds,Georgia,2020,162568000.0,Highways,106.515,152624512.9793926,10713755,15.17376494049005,14.24566017977754,16.26,1.07138
Revenue,Supporting,Non-Trust Fund,Other state funds,Georgia,2021,150978000.0,Highways,116.734,129335069.4741892,10792060,13.98972948630753,11.98428006091415,15.1,1.07921
Revenue,Supporting,Non-Trust Fund,Other state funds,Georgia,2022,202325000.0,Highways,128.921,156937194.0956089,10931805,18.50792252514566,14.35601843388251,20.23,1.09318
Revenue,Supporting,Non-Trust Fund,Other state funds,Hawaii,2020,682611861.8412056,Highways,106.515,235179482.22019693,1455252,112.19132970310568,38.134588913698366,68.26,0.14553
Revenue,Supporting,Non-Trust Fund,Other state funds,Hawaii,2021,682611861.8412056,Highways,116.734,235179482.22019693,1447029,112.19132970310568,38.134588913698366,68.26,0.1447
Revenue,Supporting,Non-Trust Fund,Other state funds,Hawaii,2022,682611861.8412056,Highways,128.921,235179482.22019693,1440359,112.19132970310568,38.134588913698366,68.26,0.14404
Revenue,Supporting,Non-Trust Fund,Other state funds,Idaho,2020,26272000.0,Highways,106.515,24665070.64732667,1839140,14.28493752514762,13.41119797694937,2.63,0.18391
Revenue,Supporting,Non-Trust Fund,Other state funds,Idaho,2021,28915000.0,Highways,116.734,24769989.89154831,1904848,15.17968887806271,13.00365692776973,2.89,0.19048
Revenue,Supporting,Non-Trust Fund,Other state funds,Idaho,2022,112073000.0,Highways,128.921,86931531.71321973,1944299,57.64185446785705,44.71098926308131,11.21,0.19443
Revenue,Supporting,Non-Trust Fund,Other state funds,Illinois,2020,25000.0,Highways,106.515,23470.87264704502,12821814,0.001949802110684,0.001830542281072,0.0,1.28218
Revenue,Supporting,Non-Trust Fund,Other state funds,Illinois,2021,254000.0,Highways,116.734,217588.7059468535,12700641,0.019998990602128,0.017132104273072,0.03,1.27006
Revenue,Supporting,Non-Trust Fund,Other state funds,Illinois,2022,132580000.0,Highways,128.921,102838172.2139915,12621821,10.50403107443847,8.147649393379254,13.26,1.26218
Revenue,Supporting,Non-Trust Fund,Other state funds,Indiana,2020,23954000.0,Highways,106.515,22488851.33549265,6786587,3.529609212996164,3.31372033328279,2.4,0.67866
Revenue,Supporting,Non-Trust Fund,Other state funds,Indiana,2021,25285000.0,Highways,116.734,21660356.02309524,6815907,3.709704372433485,3.177912495445616,2.53,0.68159
Revenue,Supporting,Non-Trust Fund,Other state funds,Indiana,2022,28344000.0,Highways,128.921,21985557.0465634,6844545,4.141107991838756,3.212128351345984,2.83,0.68445
Revenue,Supporting,Non-Trust Fund,Other state funds,Iowa,2020,39740000.0,Highways,106.515,37309299.15974276,3190546,12.45554836068811,11.69370357291284,3.97,0.31905
Revenue,Supporting,Non-Trust Fund,Other state funds,Iowa,2021,15886000.0,Highways,116.734,13608717.25461305,3198613,4.966527679341015,4.254568231484413,1.59,0.31986
Revenue,Supporting,Non-Trust Fund,Other state funds,Iowa,2022,38931000.0,Highways,128.921,30197562.84856618,3202820,12.1552257073454,9.428429586603736,3.89,0.32028
Revenue,Supporting,Non-Trust Fund,Other state funds,Kentucky,2020,682611861.8412056,Highways,106.515,235179482.22019693,4506302,112.19132970310568,38.134588913698366,68.26,0.45063
Revenue,Supporting,Non-Trust Fund,Other state funds,Kentucky,2021,682611861.8412056,Highways,116.734,235179482.22019693,4507583,112.19132970310568,38.134588913698366,68.26,0.45076
Revenue,Supporting,Non-Trust Fund,Other state funds,Kentucky,2022,682611861.8412056,Highways,128.921,235179482.22019693,4519233,112.19132970310568,38.134588913698366,68.26,0.45192
Revenue,Supporting,Non-Trust Fund,Other state funds,Louisiana,2020,5260000.0,Highways,106.515,4938271.604938271,4657874,1.129270564210195,1.060198623865367,0.53,0.46579
Revenue,Supporting,Non-Trust Fund,Other state funds,Louisiana,2021,4658000.0,Highways,116.734,3990268.473623794,4627971,1.006488588627716,0.862206887991259,0.47,0.4628
