cash_flow,own_supporting,user_other,trust_fund,exp_type,gov_level,description,state,state_code,year,estimate_actual,value,mode,deflator,chained,gov_level_sort_order,mode_sort_order,user_other_grp,chained_year,state_code_sort_order,population,value_per_pop,chained_per_pop
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Nebraska,NE,2021,Actual,37766000,Highways,116.734,32352185.31,1,0,Other,2017,33,1964537,19.22386802,16.46809671
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Nebraska,NE,2022,Actual,46276000,Highways,128.921,35894850.33,1,0,Other,2017,33,1972246,23.46360444,18.19998638
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Nevada,NV,2020,Actual,0,Highways,106.515,0,1,0,Other,2017,37,3105595,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Nevada,NV,2021,Actual,0,Highways,116.734,0,1,0,Other,2017,37,3148141,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Nevada,NV,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,37,3176116,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,New Hampshire,NH,2020,Actual,4212000,Highways,106.515,3954372.624,1,0,Other,2017,34,1377546,3.057611143,2.87059207
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,New Hampshire,NH,2021,Actual,13998000,Highways,116.734,11991364.98,1,0,Other,2017,34,1387677,10.08736183,8.641322861
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,New Hampshire,NH,2022,Actual,56396000,Highways,128.921,43744618.8,1,0,Other,2017,34,1396678,40.37866996,31.3204753
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,New Jersey,NJ,2020,Actual,86640000,Highways,106.515,81340656.25,1,0,Other,2017,35,9289014,9.327147101,8.756651271
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,New Jersey,NJ,2021,Actual,2000,Highways,116.734,1713.296897,1,0,Other,2017,35,9270541,0.000215737,0.000184811
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,New Jersey,NJ,2022,Actual,101710000,Highways,128.921,78893275.73,1,0,Other,2017,35,9295227,10.94217495,8.487503934
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,New Mexico,NM,2020,Actual,210126000,Highways,106.515,197273623.4,1,0,Other,2017,36,2117555,99.23048044,93.16103876
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,New Mexico,NM,2021,Actual,429930000,Highways,116.734,368298867.5,1,0,Other,2017,36,2117333,203.0526138,173.9447066
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,New Mexico,NM,2022,Actual,19417000,Highways,128.921,15061161.49,1,0,Other,2017,36,2113868,9.185530979,7.12492998
